num_of_prev_attempts,studied_credits,total_clicks,gender_M,highest_education_HE Qualification,highest_education_Lower Than A Level,highest_education_No Formal quals,highest_education_Post Graduate Qualification,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%,imd_band_Unknown,age_band_35-55,age_band_55<=,disability_Y,success
0,240,934.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
0,60,1435.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
0,60,281.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,0
0,60,2158.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
0,60,1034.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
0,60,2445.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,60,1492.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,120,1428.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,90,1894.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
0,60,3158.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,1
0,60,1319.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
0,60,1732.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0,60,1102.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
0,60,3388.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
0,60,2737.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
0,60,176.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0,60,1053.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
0,60,2327.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
0,150,116.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
0,60,2992.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
0,60,680.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,60,1494.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0,60,1240.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
0,60,2839.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
0,60,744.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0,60,4104.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,60,1944.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,60,1150.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
0,60,4777.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,1
0,60,465.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
0,60,733.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0,60,998.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,60,2343.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,60,3553.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
0,60,757.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,1
0,60,1358.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
0,60,1886.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0,60,1108.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
0,120,284.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,60,2041.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
0,180,1321.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
0,60,1888.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
0,120,520.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,60,2732.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,180,73.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
0,60,610.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0
0,60,5528.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
0,240,1823.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,345,756.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
0,60,2121.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
0,60,5645.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,120,452.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
0,60,597.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
0,120,1718.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
0,90,155.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,60,3812.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,0
0,150,270.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
0,420,1529.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0,60,4003.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
0,60,2645.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0,60,1405.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,60,2062.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
0,60,466.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
0,60,1510.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
0,60,745.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
0,60,1939.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
0,60,1782.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
0,60,6318.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
0,60,4447.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
0,60,2016.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
0,180,138.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,120,2012.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,120,487.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
0,60,1975.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
0,180,964.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
0,170,1312.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,120,427.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
0,60,2136.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
0,60,8562.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
0,120,4497.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
0,120,1541.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,60,3219.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,60,1905.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
0,60,534.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
0,60,1418.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0,60,1665.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,90,333.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
0,60,2953.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
0,180,1205.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
0,60,227.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
0,60,445.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
0,60,614.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0,60,1215.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
0,240,1839.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
0,240,1257.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
0,60,732.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,60,1935.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
0,80,321.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
0,120,427.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,60,1892.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,60,1829.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0
0,60,658.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
0,60,1174.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,90,1969.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0,60,2580.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
0,120,1481.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
0,60,844.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,60,4963.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
0,60,426.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
0,60,1066.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
0,60,2407.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
0,90,3210.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
0,180,191.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0,60,3348.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
0,60,2028.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
0,60,1183.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
0,150,492.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,60,130.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
0,60,59.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0,60,1961.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
0,60,1046.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,120,483.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,60,1740.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0,60,652.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0,60,5231.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,180,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0
0,120,187.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
0,60,1775.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
0,60,865.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,240,3099.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
0,60,2152.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1
0,60,514.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
0,60,1997.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
0,60,513.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
0,60,146.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0,120,1277.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
0,120,68.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,120,987.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
0,60,1220.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,60,2742.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
0,60,1081.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
0,60,1476.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
0,120,2230.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
0,60,12882.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1
0,60,281.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,120,1281.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
0,60,6589.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
0,60,10083.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
0,60,1901.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
0,60,1961.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
0,120,133.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
0,60,6588.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0
0,60,1655.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
0,120,301.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0,60,648.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
0,150,332.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
0,240,303.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,60,3928.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
